"DLZ - Summary Report"
"Sample ID:","Cal std 1@2305748"
"Sample Date/Time:","Monday, November 06, 2023 09:58:47"
"Sample Description:"
"Batch ID:"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"|>","Li",6,,"ug/L",,602580.775
"| ","Be",9,,"ug/L",,13.667
"|-","Al",27,,"ug/L",,61426.177
"|-","V",51,,"ug/L",,-9247.608
"| ","Cr",52,,"ug/L",,16795.841
"| ","Mn",55,,"ug/L",,1126.070
"| ","Fe",57,,"ug/L",,5394.267
"| ","Co",59,,"ug/L",,67.667
"| ","Ni",60,,"ug/L",,69.000
"| ","Cu",63,,"ug/L",,327.673
"| ","Zn",66,,"ug/L",,695.027
"| ","As",75,,"ug/L",,-1153.997
"| ","Se",82,,"ug/L",,-4.106
"|>","Ge",74,,"ug/L",,429569.303
"|-","Mo",97,,"ug/L",,56.904
"|-","Ag",107,,"ug/L",,30.000
"| ","Cd",111,,"ug/L",,58.583
"|>","In",115,,"ug/L",,489240.196
"| ","Sb",123,,"ug/L",,326.005
"|-","Ba",137,,"ug/L",,157.196
"|-","Tl",205,,"ug/L",,84.667
"| ","Pb",208,,"ug/L",,654.343
"|>","Bi",209,,"ug/L",,494427.044
"QC Calculated Values"
"DLZ - Summary Report"
"Sample ID:","Cal std 2@2305742"
"Sample Date/Time:","Monday, November 06, 2023 10:02:07"
"Sample Description:"
"Batch ID:"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"|>","Li",6,,"ug/L",,609726.620
"| ","Be",9,0.167531,"ug/L",15.671,122.001
"|-","Al",27,-2.640796,"ug/L",1.456,30725.512
"|-","V",51,0.224590,"ug/L",22.222,-6001.818
"| ","Cr",52,0.130398,"ug/L",12.043,18593.001
"| ","Mn",55,0.179170,"ug/L",2.632,4770.919
"| ","Fe",57,2.778663,"ug/L",5.936,6544.689
"| ","Co",59,0.185873,"ug/L",2.855,2798.098
"| ","Ni",60,0.186001,"ug/L",3.653,625.355
"| ","Cu",63,0.552121,"ug/L",1.383,4079.249
"| ","Zn",66,0.239343,"ug/L",4.609,1102.400
"| ","As",75,0.362493,"ug/L",16.089,-441.737
"| ","Se",82,0.120963,"ug/L",31.255,23.274
"|>","Ge",74,,"ug/L",,433182.820
"|-","Mo",97,0.066511,"ug/L",13.381,227.167
"|-","Ag",107,0.038610,"ug/L",13.179,504.014
"| ","Cd",111,0.185549,"ug/L",4.092,535.408
