"DLZ - Summary Report"
"Sample ID:","Rinse"
"Sample Date/Time:","Tuesday, December 05, 2023 09:24:03"
"Sample Description:"
"Batch ID:","12/05/2023"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"|>","Li",6,,"ug/L",,825430.366
"| ","Be",9,,"ug/L",,11.667
"|-","Al",27,,"ug/L",,51889.487
"|-","V",51,,"ug/L",,-5736.347
"| ","Cr",52,,"ug/L",,7263.569
"| ","Mn",55,,"ug/L",,1125.070
"| ","Fe",57,,"ug/L",,3942.856
"| ","Co",59,,"ug/L",,154.668
"| ","Ni",60,,"ug/L",,9476.605
"| ","Cu",63,,"ug/L",,985.409
"| ","Zn",66,,"ug/L",,568.685
"| ","As",75,,"ug/L",,-530.211
"| ","Se",82,,"ug/L",,21.348
"|>","Ge",74,,"ug/L",,314557.913
"|-","Mo",97,,"ug/L",,231.802
"|-","Ag",107,,"ug/L",,49.000
"| ","Cd",111,,"ug/L",,59.572
"|>","In",115,,"ug/L",,388590.535
"| ","Sb",123,,"ug/L",,514.105
"|-","Ba",137,,"ug/L",,926.552
"|-","Tl",205,,"ug/L",,1838.521
"| ","Pb",208,,"ug/L",,873.016
"|>","Bi",209,,"ug/L",,517773.578
"QC Calculated Values"
"DLZ - Summary Report"
"Sample ID:","Rinse"
"Sample Date/Time:","Tuesday, December 05, 2023 09:27:21"
"Sample Description:"
"Batch ID:","12/05/2023"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"|>","Li",6,,"ug/L",,808999.472
"| ","Be",9,,"ug/L",,11.000
"|-","Al",27,,"ug/L",,46103.959
"|-","V",51,,"ug/L",,-5888.533
"| ","Cr",52,,"ug/L",,7182.838
"| ","Mn",55,,"ug/L",,884.376
"| ","Fe",57,,"ug/L",,3456.324
"| ","Co",59,,"ug/L",,140.334
"| ","Ni",60,,"ug/L",,8864.657
"| ","Cu",63,,"ug/L",,300.672
"| ","Zn",66,,"ug/L",,436.677
"| ","As",75,,"ug/L",,-588.926
"| ","Se",82,,"ug/L",,7.671
"|>","Ge",74,,"ug/L",,312407.154
"|-","Mo",97,,"ug/L",,125.425
"|-","Ag",107,,"ug/L",,26.333
"| ","Cd",111,,"ug/L",,55.180
"|>","In",115,,"ug/L",,390340.670
"| ","Sb",123,,"ug/L",,237.418
"|-","Ba",137,,"ug/L",,141.249
"|-","Tl",205,,"ug/L",,1344.766
"| ","Pb",208,,"ug/L",,678.343
"|>","Bi",209,,"ug/L",,509487.984
"QC Calculated Values"
"DLZ - Summary Report"
"Sample ID:","Cal std 1@2308559"
