"DLZ - Summary Report"
"Sample ID:","Rinse"
"Sample Date/Time:","Wednesday, December 06, 2023 09:31:50"
"Sample Description:"
"Batch ID:","12/06/2023"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"|>","Li",6,,"ug/L",,11422.515
"| ","Be",9,,"ug/L",,59973.853
"|-","Al",27,,"ug/L",,106532.908
"|-","V",51,,"ug/L",,-6532.140
"| ","Cr",52,,"ug/L",,10258.786
"| ","Mn",55,,"ug/L",,2833.109
"| ","Fe",57,,"ug/L",,4924.001
"| ","Co",59,,"ug/L",,46964.346
"| ","Ni",60,,"ug/L",,240.003
"| ","Cu",63,,"ug/L",,499.014
"| ","Zn",66,,"ug/L",,535.349
"| ","As",75,,"ug/L",,-507.962
"| ","Se",82,,"ug/L",,-9.126
"|>","Ge",74,,"ug/L",,28.305
"|-","Mo",97,,"ug/L",,86.279
"|-","Ag",107,,"ug/L",,25.667
"| ","Cd",111,,"ug/L",,16.741
"|>","In",115,,"ug/L",,107663.342
"| ","Sb",123,,"ug/L",,281.492
"|-","Ba",137,,"ug/L",,15374.001
"|-","Tl",205,,"ug/L",,123667.297
"| ","Pb",208,,"ug/L",,168294.924
"|>","Bi",209,,"ug/L",,867.378
"QC Calculated Values"
"DLZ - Summary Report"
"Sample ID:","Rinse"
"Sample Date/Time:","Wednesday, December 06, 2023 09:35:01"
"Sample Description:"
"Batch ID:","12/06/2023"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"|>","Li",6,,"ug/L",,92062.201
"| ","Be",9,,"ug/L",,51496.684
"|-","Al",27,,"ug/L",,97582.058
"|-","V",51,,"ug/L",,-6653.100
"| ","Cr",52,,"ug/L",,10398.281
"| ","Mn",55,,"ug/L",,2006.557
"| ","Fe",57,,"ug/L",,4624.176
"| ","Co",59,,"ug/L",,39232.381
"| ","Ni",60,,"ug/L",,197.335
"| ","Cu",63,,"ug/L",,356.007
"| ","Zn",66,,"ug/L",,611.688
"| ","As",75,,"ug/L",,-479.908
"| ","Se",82,,"ug/L",,2.637
"|>","Ge",74,,"ug/L",,43281.254
"|-","Mo",97,,"ug/L",,45.461
"|-","Ag",107,,"ug/L",,20.667
"| ","Cd",111,,"ug/L",,23.844
"|>","In",115,,"ug/L",,143184.885
"| ","Sb",123,,"ug/L",,173.157
"|-","Ba",137,,"ug/L",,12554.628
"|-","Tl",205,,"ug/L",,103749.800
"| ","Pb",208,,"ug/L",,140173.542
"|>","Bi",209,,"ug/L",,68173.096
"QC Calculated Values"
"DLZ - Summary Report"
"Sample ID:","Cal std 1@2308559"
"Sample Date/Time:","Wednesday, December 06, 2023 09:38:13"
"Sample Description:"
"Batch ID:"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"|>","Li",6,,"ug/L",,720486.127
"| ","Be",9,,"ug/L",,22.000
"|-","Al",27,,"ug/L",,53098.655
"|-","V",51,,"ug/L",,-10842.280
"| ","Cr",52,,"ug/L",,11435.188
"| ","Mn",55,,"ug/L",,1100.733
"| ","Fe",57,,"ug/L",,4593.494
"| ","Co",59,,"ug/L",,60.334
"| ","Ni",60,,"ug/L",,198.669
"| ","Cu",63,,"ug/L",,342.006
"| ","Zn",66,,"ug/L",,364.674
"| ","As",75,,"ug/L",,-662.588
"| ","Se",82,,"ug/L",,5.285
"|>","Ge",74,,"ug/L",,340076.157
"|-","Mo",97,,"ug/L",,53.685
"|-","Ag",107,,"ug/L",,21.000
"| ","Cd",111,,"ug/L",,60.726
"|>","In",115,,"ug/L",,415513.927
"| ","Sb",123,,"ug/L",,193.050
"|-","Ba",137,,"ug/L",,77.177
"|-","Tl",205,,"ug/L",,299.005
"| ","Pb",208,,"ug/L",,606.341
"|>","Bi",209,,"ug/L",,510129.530
"QC Calculated Values"
"DLZ - Summary Report"
"Sample ID:","Cal std 2@2308560"
"Sample Date/Time:","Wednesday, December 06, 2023 09:41:25"
"Sample Description:"
"Batch ID:"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"|>","Li",6,,"ug/L",,724673.214
"| ","Be",9,0.200000,"ug/L",41.363,228.003
"|-","Al",27,,"ug/L",,32344.450
"|-","V",51,,"ug/L",,-10563.735
"| ","Cr",52,,"ug/L",,14346.312
"| ","Mn",55,,"ug/L",,5467.310
"| ","Fe",57,,"ug/L",,5698.452
"| ","Co",59,,"ug/L",,2712.072
"| ","Ni",60,,"ug/L",,682.026
"| ","Cu",63,,"ug/L",,2462.334
"| ","Zn",66,,"ug/L",,1280.090
"| ","As",75,,"ug/L",,-402.821
"| ","Se",82,,"ug/L",,18.968
"|>","Ge",74,,"ug/L",,334088.195
"|-","Mo",97,,"ug/L",,205.317
"|-","Ag",107,,"ug/L",,401.342
"| ","Cd",111,0.200000,"ug/L",4.097,453.725
"|>","In",115,,"ug/L",,409802.004
"| ","Sb",123,,"ug/L",,369.880
"|-","Ba",137,,"ug/L",,3516.857
"|-","Tl",205,0.200000,"ug/L",2.296,7616.523
"| ","Pb",208,,"ug/L",,10660.130
"|>","Bi",209,,"ug/L",,505597.090
"QC Calculated Values"
"DLZ - Summary Report"
"Sample ID:","Cal std 3@2308561"
"Sample Date/Time:","Wednesday, December 06, 2023 09:44:36"
"Sample Description:"
"Batch ID:"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"|>","Li",6,,"ug/L",,721887.165
"| ","Be",9,0.476100,"ug/L",0.834,398.675
"|-","Al",27,,"ug/L",,66332.489
"|-","V",51,,"ug/L",,-8112.625
