"DLZ - Summary Report"
"Sample ID:","Rinse"
"Sample Date/Time:","Thursday, December 07, 2023 10:13:56"
"Sample Description:"
"Batch ID:","12/07/2023"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"|>","Li",6,,"ug/L",,785641.880
"| ","Be",9,,"ug/L",,14.667
"|-","Al",27,,"ug/L",,14207.446
"|-","V",51,,"ug/L",,-12082.890
"| ","Cr",52,,"ug/L",,22609.098
"| ","Mn",55,,"ug/L",,1016.057
"| ","Fe",57,,"ug/L",,9944.108
"| ","Co",59,,"ug/L",,110.334
"| ","Ni",60,,"ug/L",,82.667
"| ","Cu",63,,"ug/L",,353.340
"| ","Zn",66,,"ug/L",,876.042
"| ","As",75,,"ug/L",,-1311.145
"| ","Se",82,,"ug/L",,-4.075
"|>","Ge",74,,"ug/L",,561224.425
"|-","Mo",97,,"ug/L",,105.535
"|-","Ag",107,,"ug/L",,65.000
"| ","Cd",111,,"ug/L",,100.485
"|>","In",115,,"ug/L",,588882.958
"| ","Sb",123,,"ug/L",,154.136
"|-","Ba",137,,"ug/L",,205.176
"|-","Tl",205,,"ug/L",,1462.121
"| ","Pb",208,,"ug/L",,484.007
"|>","Bi",209,,"ug/L",,681307.558
"QC Calculated Values"
"DLZ - Summary Report"
"Sample ID:","Rinse"
"Sample Date/Time:","Thursday, December 07, 2023 10:36:34"
"Sample Description:"
"Batch ID:","12/07/2023"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"|>","Li",6,,"ug/L",,810257.972
"| ","Be",9,,"ug/L",,5.333
"|-","Al",27,,"ug/L",,185120.078
"|-","V",51,,"ug/L",,-21593.754
"| ","Cr",52,,"ug/L",,26807.804
"| ","Mn",55,,"ug/L",,1989.884
"| ","Fe",57,,"ug/L",,10533.767
"| ","Co",59,,"ug/L",,88.667
"| ","Ni",60,,"ug/L",,116.334
"| ","Cu",63,,"ug/L",,772.700
"| ","Zn",66,,"ug/L",,1151.073
"| ","As",75,,"ug/L",,-1619.639
"| ","Se",82,,"ug/L",,-14.374
"|>","Ge",74,,"ug/L",,562046.318
"|-","Mo",97,,"ug/L",,103.608
"|-","Ag",107,,"ug/L",,38.667
"| ","Cd",111,,"ug/L",,68.160
"|>","In",115,,"ug/L",,597232.550
"| ","Sb",123,,"ug/L",,476.083
"|-","Ba",137,,"ug/L",,272.824
"|-","Tl",205,,"ug/L",,254.004
"| ","Pb",208,,"ug/L",,978.021
"|>","Bi",209,,"ug/L",,688358.822
"QC Calculated Values"
"DLZ - Summary Report"
"Sample ID:","Rinse"
"Sample Date/Time:","Thursday, December 07, 2023 10:39:49"
"Sample Description:"
"Batch ID:","12/07/2023"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"|>","Li",6,,"ug/L",,803764.960
"| ","Be",9,,"ug/L",,9.333
"|-","Al",27,,"ug/L",,166346.510
"|-","V",51,,"ug/L",,-22988.112
"| ","Cr",52,,"ug/L",,26886.368
"| ","Mn",55,,"ug/L",,1905.866
"| ","Fe",57,,"ug/L",,10434.318
"| ","Co",59,,"ug/L",,76.667
"| ","Ni",60,,"ug/L",,114.334
"| ","Cu",63,,"ug/L",,589.686
"| ","Zn",66,,"ug/L",,1025.725
"| ","As",75,,"ug/L",,-1717.975
"| ","Se",82,,"ug/L",,-6.036
"|>","Ge",74,,"ug/L",,552830.319
"|-","Mo",97,,"ug/L",,71.680
"|-","Ag",107,,"ug/L",,41.333
"| ","Cd",111,,"ug/L",,66.887
"|>","In",115,,"ug/L",,586566.281
"| ","Sb",123,,"ug/L",,322.661
