"DLZ - Summary Report"
"Sample ID:","Rinse"
"Sample Date/Time:","Friday, December 08, 2023 09:09:43"
"Sample Description:"
"Batch ID:","12/08/2023"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"|>","Li",6,,"ug/L",,781672.832
"| ","Be",9,,"ug/L",,95.667
"|-","Al",27,,"ug/L",,93445.497
"|-","V",51,,"ug/L",,-18399.383
"| ","Cr",52,,"ug/L",,20600.706
"| ","Mn",55,,"ug/L",,1429.779
"| ","Fe",57,,"ug/L",,8680.148
"| ","Co",59,,"ug/L",,165.002
"| ","Ni",60,,"ug/L",,60.000
"| ","Cu",63,,"ug/L",,557.017
"| ","Zn",66,,"ug/L",,1007.723
"| ","As",75,,"ug/L",,-2301.541
"| ","Se",82,,"ug/L",,11.087
"|>","Ge",74,,"ug/L",,502451.621
"|-","Mo",97,,"ug/L",,111.128
"|-","Ag",107,,"ug/L",,42.667
"| ","Cd",111,,"ug/L",,79.916
"|>","In",115,,"ug/L",,539257.475
"| ","Sb",123,,"ug/L",,523.648
"|-","Ba",137,,"ug/L",,669.005
"|-","Tl",205,,"ug/L",,402.009
"| ","Pb",208,,"ug/L",,1075.358
"|>","Bi",209,,"ug/L",,650542.374
"QC Calculated Values"
"DLZ - Summary Report"
"Sample ID:","Rinse"
"Sample Date/Time:","Friday, December 08, 2023 09:12:57"
"Sample Description:"
"Batch ID:","12/08/2023"
"Initial Sample Quantity (mg):"
"Sample Prep Volume (mL):"
"Aliquot Volume (mL):"
"Diluted To Volume (mL):"
"Method File:","C:\Elandata\Method\6020&200.8 mod.mth"
"Analyst  :","ICPMS"
"Intensities"
"I/S","Analyte","Mass","Conc. Mean","Unit","Conc. RSD","Meas. Intens. Mean"
"|>","Li",6,,"ug/L",,768903.022
"| ","Be",9,,"ug/L",,21.667
"|-","Al",27,,"ug/L",,76936.684
"|-","V",51,,"ug/L",,-23738.589
